MRT_Line,Bus_ServiceNo,Bus_Route_Length_m,Overlap_Length_m,Coverage_Percentage,Consecutive_Coverage_Percentage,Max_Consecutive_Segments,Weighted_Average_Angle,Weighted_Average_Score
Sengkang LRT,374,6668.132696382043,6223.689276030886,42.857142857142854,85.71428571428571,6.0,65.3,64.48857142857143
Bukit Panjang LRT,973A,1249.5395327575993,1249.5395327575993,16.666666666666664,100.0,2.0,30.7,52.806666666666665
North-South,302A,1929.3024927979577,1929.3024927979577,4.761904761904762,100.0,2.0,40.4,49.9847619047619
Bukit Panjang LRT,976,7464.432229891002,7163.349917263102,50.0,37.5,3.0,59.1,46.82
Sengkang LRT,371,3670.8341376438657,3415.38514641899,14.285714285714285,75.0,3.0,42.8,44.27428571428572
Bukit Panjang LRT,974A,17749.95029783376,6847.603314869377,33.33333333333333,38.88888888888889,7.0,62.5,41.388888888888886
Bukit Panjang LRT,922,7119.814772807734,7119.814772807735,33.33333333333333,50.0,4.0,39.6,41.25333333333333
Punggol LRT,386,7031.400729309656,6580.08439184427,50.0,25.0,2.0,43.1,38.620000000000005
Punggol LRT,83T,5486.421430941413,3593.0281541127033,33.33333333333333,33.33333333333333,2.0,56.8,38.026666666666664
Sengkang LRT,163A,4950.535254259683,4570.671514672329,42.857142857142854,20.0,1.0,64.3,38.00285714285714
North-South,55B,2723.0642206253883,1874.1810280075808,4.761904761904762,66.66666666666666,2.0,45.4,37.65142857142857
North-South,139A,2967.3141717522103,1679.3001505817895,4.761904761904762,66.66666666666666,2.0,44.5,37.47142857142857
North-South,991C,2860.332108349396,1917.4376960073928,2.380952380952381,66.66666666666666,2.0,48.2,37.25904761904762
North-South,302,5899.569573713876,4951.378896974146,4.761904761904762,66.66666666666666,4.0,42.2,37.01142857142857
Circle,92A,2731.461172838405,2233.3799924064137,5.714285714285714,66.66666666666666,2.0,37.3,36.41238095238095
Punggol LRT,381,8548.95236801011,7440.782634432975,33.33333333333333,33.33333333333333,3.0,47.2,36.10666666666667
Punggol LRT,83,10930.611074510503,7043.360186131676,33.33333333333333,27.27272727272727,3.0,56.7,35.582424242424246
North-South,856A,2898.4572451572217,2131.266273932749,4.761904761904762,66.66666666666666,2.0,32.3,35.03142857142857
Sengkang LRT,163B,8132.129363959652,4570.671514672329,42.857142857142854,11.11111111111111,1.0,64.3,34.44730158730159
Punggol LRT,84G,5175.9411336341245,4564.995368966965,33.33333333333333,33.33333333333333,2.0,37.4,34.14666666666666
Sengkang LRT,102A,3840.85594584558,3047.954427100201,28.57142857142857,25.0,1.0,62.3,33.88857142857143
