MRT_Line,Bus_ServiceNo,Bus_Route_Length_m,Overlap_Length_m,Coverage_Percentage,Consecutive_Coverage_Percentage,Max_Consecutive_Segments,Weighted_Average_Angle,Weighted_Average_Score
Sengkang LRT,371,3670.8341376437725,3670.8341376437725,18.181818181818183,100.0,4.0,34.6,54.192727272727275
Punggol LRT,386A,2230.9771023055932,2230.9771023055932,45.0,66.66666666666666,2.0,41.2,52.906666666666666
Bukit Panjang LRT,973A,1249.5395327575993,1249.5395327575993,16.666666666666664,100.0,2.0,30.7,52.806666666666665
Jurong Region,179,7984.510854863207,7984.510854863207,9.333333333333334,100.0,8.0,39.8,51.693333333333335
Jurong Region,98A,2960.207397446955,2960.207397446955,6.666666666666667,100.0,3.0,43.8,51.42666666666666
Punggol LRT,84W,5231.193672101317,5231.193672101317,55.00000000000001,50.0,3.0,44.6,50.92
Jurong Region,154A,2451.852352032764,2451.852352032764,6.666666666666667,100.0,3.0,40.1,50.68666666666667
Jurong Region,975A,1555.2588296180677,1292.3718216760178,1.3333333333333335,100.0,2.0,47.8,50.093333333333334
North-South,302A,1929.3024927979516,1929.3024927979516,4.761904761904762,100.0,2.0,40.4,49.9847619047619
Jurong Region,240A,1424.8586351032866,1424.8586351032866,4.0,100.0,2.0,39.6,49.52
Sengkang LRT,102B,3682.0325400995007,2939.8526978399036,13.636363636363635,75.0,3.0,63.4,48.13454545454545
Sengkang LRT,163A,4950.535254259699,4757.245693298998,27.27272727272727,60.0,3.0,66.1,48.129090909090905
Punggol LRT,381,8548.95236801012,8548.952368010123,10.0,77.77777777777779,7.0,62.1,47.531111111111116
Bukit Panjang LRT,976,7464.432229891055,7163.349917262857,50.0,37.5,3.0,59.1,46.82
Jurong Region,181M,5683.547588230532,5683.547588230532,6.666666666666667,83.33333333333334,5.0,33.4,42.68
Punggol LRT,386,7031.400729309693,7031.400729309693,45.0,37.5,3.0,43.4,41.68
Sengkang LRT,374,6668.132696382089,6668.132696382088,36.36363636363637,42.857142857142854,3.0,48.9,41.46831168831169
Bukit Panjang LRT,922,7119.814772807672,7119.814772807672,33.33333333333333,50.0,4.0,39.6,41.25333333333333
Punggol LRT,384,4509.612084797736,4509.612084797736,15.0,60.0,3.0,53.9,40.78
Jurong Region,242,4141.560872713399,4141.5608727133995,4.0,80.0,4.0,33.8,40.36
Sengkang LRT,102A,3840.8559458456384,3026.635011961846,13.636363636363635,50.0,2.0,67.1,38.874545454545455
North-South,55B,2723.0642206253956,1874.181028007638,4.761904761904762,66.66666666666666,2.0,45.4,37.65142857142857
North-South,139A,2967.3141717523094,1679.3001505819398,4.761904761904762,66.66666666666666,2.0,44.5,37.47142857142857
Sengkang LRT,163B,8132.129363959612,4757.245693298998,27.27272727272727,33.33333333333333,3.0,66.1,37.46242424242424
North-South,991C,2860.332108349396,1917.4376960073928,2.380952380952381,66.66666666666666,2.0,48.2,37.25904761904762
Punggol LRT,84G,5175.941133634194,5175.941133634194,55.00000000000001,16.666666666666664,1.0,42.2,37.10666666666667
North-South,302,5899.56957371379,4951.378896973501,4.761904761904762,66.66666666666666,4.0,42.2,37.01142857142857
Circle,92A,2731.4611728384134,2233.379992406422,4.878048780487805,66.66666666666666,2.0,41.5,36.91788617886179
Sengkang LRT,372,6532.642185884807,6532.642185884808,31.818181818181817,28.57142857142857,2.0,61.9,36.53584415584416
Jurong Region,246,13325.31928518631,13325.319285186308,13.333333333333334,57.14285714285714,8.0,41.4,36.47047619047619
North-South,856A,2898.457245157219,2131.2662739327197,4.761904761904762,66.66666666666666,2.0,32.3,35.03142857142857
East-West,29A,2464.0563724710582,2464.0563724710582,3.389830508474576,66.66666666666666,2.0,34.8,34.98259887005649
Circle,10,29465.954966864025,15611.304132585281,26.82926829268293,30.0,9.0,54.2,33.57170731707318
Bukit Panjang LRT,972M,36598.67684828934,9644.545485886636,50.0,8.108108108108109,3.0,50.1,33.263243243243245
Sengkang LRT,969A,18350.740475888506,4569.180283620214,31.818181818181817,15.789473684210526,3.0,70.5,33.14306220095694
Circle,57,19299.120039460482,9423.026969620252,17.073170731707318,40.0,8.0,51.5,33.12926829268292
Punggol LRT,382W,4320.978473851069,3757.0768707685484,20.0,40.0,2.0,45.5,33.1
Circle,100,21826.59991191497,11590.514129250807,21.951219512195124,36.36363636363637,8.0,48.2,32.9659423503326
East-West,292,4845.12028094527,4216.57162010078,3.389830508474576,60.0,3.0,34.8,32.31593220338983
Bukit Panjang LRT,975,33732.48249915047,6302.597548919835,50.0,5.88235294117647,2.0,48.5,32.05294117647059
Bukit Panjang LRT,975C,16980.660182323896,3204.258894791355,50.0,5.88235294117647,1.0,48.5,32.05294117647059
Sengkang LRT,102,22426.851649839293,12398.705666447882,31.818181818181817,17.391304347826086,4.0,60.1,31.70379446640316
North-South,904,6213.204645725632,6213.204645725631,4.761904761904762,57.14285714285714,4.0,31.6,31.081904761904763
Bukit Panjang LRT,972A,16918.30200503013,4537.338563588181,33.33333333333333,17.647058823529413,3.0,53.1,31.012156862745098
North-South,991A,1343.3544128217784,893.9639524530393,2.380952380952381,50.0,1.0,49.4,30.83238095238095
Sengkang LRT,163,17724.889316476558,4757.245693298998,27.27272727272727,16.666666666666664,3.0,66.1,30.795757575757573
North-South,945,5415.555351948566,5331.698918467247,2.380952380952381,50.0,3.0,49.2,30.792380952380952
Bukit Panjang LRT,307T,3836.7919183834974,3836.7919183834974,33.33333333333333,25.0,1.0,34.9,30.313333333333333
North-South,992,1796.961417951983,673.7608511285707,2.380952380952381,50.0,1.0,46.6,30.272380952380953
Sengkang LRT,50A,10289.612183407908,4627.55545208344,22.727272727272727,18.181818181818183,2.0,69.5,30.263636363636365
North-South,991B,1481.88358465654,1481.88358465654,2.380952380952381,50.0,1.0,45.6,30.072380952380954
North-South,159B,1310.8611187595284,871.9356170650899,2.380952380952381,50.0,1.0,44.9,29.932380952380953
Cross Island,112A,3991.852191526763,2315.3550076727647,3.0303030303030303,50.0,2.0,40.0,29.21212121212121
Jurong Region,243G,3918.1963883104854,3918.1963883104854,5.333333333333334,50.0,2.0,33.4,28.813333333333333
Jurong Region,198A,4147.384256352261,4147.384256352261,6.666666666666667,40.0,2.0,50.3,28.726666666666667
Cross Island,114,3755.5005724466378,3079.0336955412904,3.0303030303030303,50.0,2.0,37.5,28.71212121212121
Cross Island,83T,5486.4214309415665,4719.286876279164,6.0606060606060606,50.0,3.0,30.0,28.424242424242426
Jurong Region,98M,15371.17417009785,15023.165500428066,10.666666666666668,37.5,6.0,44.2,28.10666666666667
Jurong Region,249A,6750.611440595161,3601.9604351197495,4.0,42.857142857142854,3.0,46.4,28.02285714285714
Jurong Region,160A,3686.5961200411775,3552.1182078835363,4.0,50.0,2.0,30.6,27.720000000000002
North-South,990,9522.09097950463,7320.124954933656,4.761904761904762,40.0,4.0,48.3,27.564761904761905
East-West,68A,1894.7465531455152,576.8571970360816,1.694915254237288,50.0,1.0,34.2,27.517966101694913
Downtown,67,30761.46366166135,19834.30185880701,17.5,19.35483870967742,6.0,63.7,27.48193548387097
Jurong Region,154B,13376.866258618129,7814.4962175127475,12.0,28.57142857142857,4.0,56.0,27.42857142857143
East-West,5B,3381.2392446283916,2780.1292736614882,3.389830508474576,50.0,2.0,29.8,27.31593220338983
Jurong Region,240,11075.041274730807,11075.04127473081,13.333333333333334,33.33333333333333,4.0,43.0,27.266666666666666
Jurong Region,199,9731.60178828165,9714.299595217464,13.333333333333334,40.0,4.0,28.3,26.993333333333336
Jurong Region,99,14720.703255865512,9517.197554813652,10.666666666666668,26.666666666666668,4.0,59.9,26.913333333333334
Bukit Panjang LRT,972,34503.30439651223,9130.725620400419,33.33333333333333,8.571428571428571,3.0,50.1,26.781904761904762
Bukit Panjang LRT,920,6719.6355686829365,6138.347396757487,33.33333333333333,14.285714285714285,1.0,37.0,26.44761904761905
Bukit Panjang LRT,190A,16099.406547333554,4019.5254185198,33.33333333333333,5.88235294117647,1.0,53.7,26.426274509803925
Sengkang LRT,161,19499.180565235856,5095.971052770905,27.27272727272727,15.0,3.0,46.6,26.229090909090907
Circle,91,4749.668386742209,4749.668386742209,4.878048780487805,40.0,2.0,40.7,26.091219512195124
Jurong Region,179A,7251.579630250251,7251.579630250251,6.666666666666667,37.5,3.0,41.4,25.946666666666665
North-East,45A,1764.5690994024483,1079.2921429800501,4.761904761904762,50.0,1.0,19.6,25.824761904761907
Jurong Region,241,4931.493342403642,4931.493342403642,2.666666666666667,40.0,2.0,42.6,25.586666666666666
East-West,53A,9888.060293287628,5840.998490808087,3.389830508474576,40.0,4.0,40.7,25.49593220338983
