ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
10,10,1.35,[51],1.35,[26],1.35,[51],1.35,[26],2.7,"[50, 51]",1.35,[26]
100,10,3.51,"[20, 35]",1.85,[22],3.51,"[20, 35]",1.85,[22],5.26,"[20, 34, 35]",1.85,[22]
100A,10,,,,,,,,,,,,
101,10,2.17,[27],0.0,[],2.17,[27],0.0,[],2.17,[27],0.0,[]
102,10,0.0,[],0.0,[],1.67,[23],0.0,[],3.33,"[23, 29]",0.0,[]
102A,10,0.0,[],0.0,[],9.09,[10],0.0,[],9.09,[10],0.0,[]
102B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
103,10,15.0,"[23, 25, 28, 29, 31, 34]",18.18,"[30, 20, 18, 15, 14, 12, 11, 8]",17.5,"[23, 25, 26, 28, 29, 31, 34]",18.18,"[30, 20, 18, 15, 14, 12, 11, 8]",17.5,"[23, 25, 26, 28, 29, 31, 34]",15.91,"[30, 20, 18, 15, 14, 12, 11]"
105,10,1.75,[6],1.75,[51],1.75,[6],0.0,[],1.75,[6],0.0,[]
105B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
106,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],2.0,[9]
106A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
107,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
107M,10,0.0,[],0.0,[],0.0,[],0.0,[],1.47,[37],0.0,[]
109,10,3.92,"[45, 46]",1.92,[6],3.92,"[45, 46]",1.92,[6],1.96,[46],1.92,[6]
10e,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
11,10,36.0,"[5, 6, 8, 9, 12, 17, 19, 20, 21]",0.0,[],36.0,"[5, 6, 8, 9, 12, 17, 19, 20, 21]",0.0,[],36.0,"[5, 6, 8, 9, 12, 17, 19, 20, 21]",0.0,[]
110,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
111,10,3.57,"[13, 42]",0.0,[],3.57,"[13, 42]",0.0,[],5.36,"[13, 28, 42]",0.0,[]
112,10,2.13,[25],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
112A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
116,10,,,,,,,,,,,,
