ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
10,8,9.46,"[4, 20, 36, 42, 55, 62, 67]",18.92,"[10, 13, 15, 21, 34, 36, 37, 41, 47, 48, 53, 59, 61, 72]",12.16,"[2, 4, 20, 30, 36, 42, 55, 62, 67]",20.27,"[10, 13, 15, 21, 34, 36, 37, 39, 41, 47, 48, 53, 59, 61, 72]",9.46,"[2, 4, 20, 42, 55, 62, 67]",20.27,"[10, 13, 15, 21, 34, 36, 37, 39, 41, 47, 48, 53, 59, 61, 72]"
100,8,13.79,"[2, 6, 13, 14, 16, 39, 44, 52]",13.79,"[5, 6, 27, 29, 33, 43, 47, 51]",13.79,"[2, 6, 13, 14, 16, 39, 44, 52]",15.52,"[5, 6, 27, 29, 33, 36, 43, 47, 51]",15.52,"[2, 6, 13, 14, 16, 39, 44, 51, 52]",15.52,"[5, 6, 27, 29, 33, 36, 43, 47, 51]"
100A,8,61.54,"[2, 5, 6, 7, 9, 10, 12, 13]",0.0,[],61.54,"[2, 5, 6, 7, 9, 10, 12, 13]",0.0,[],61.54,"[2, 5, 6, 7, 9, 10, 12, 13]",0.0,[]
101,8,10.64,"[7, 12, 26, 40, 42]",0.0,[],12.77,"[7, 12, 26, 37, 40, 42]",0.0,[],12.77,"[7, 12, 26, 37, 40, 42]",0.0,[]
102,8,20.0,"[3, 10, 15, 20, 28, 34, 37, 42, 44, 47, 52, 53]",0.0,[],20.0,"[3, 10, 15, 20, 28, 34, 37, 42, 44, 47, 52, 53]",0.0,[],20.0,"[3, 10, 15, 20, 28, 34, 37, 42, 44, 47, 52, 53]",0.0,[]
102A,8,72.73,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0,[],72.73,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0,[],72.73,"[2, 3, 4, 5, 6, 7, 8, 9]",0.0,[]
102B,8,72.73,"[3, 4, 5, 6, 7, 8, 10, 11]",0.0,[],72.73,"[3, 4, 5, 6, 7, 8, 10, 11]",0.0,[],72.73,"[3, 4, 5, 6, 7, 8, 10, 11]",0.0,[]
103,8,11.11,"[3, 17, 20, 23, 39]",6.67,"[3, 8, 22]",11.11,"[3, 17, 20, 23, 39]",6.67,"[3, 8, 22]",6.67,"[20, 23, 39]",6.67,"[3, 8, 22]"
