ServiceNo,Weekday_Percentage_Exceed,Weekend_Percentage_Exceed
811T,97.67441860465115,88.37209302325581
7A,97.14285714285714,94.28571428571428
174e,97.05882352941177,94.11764705882352
196A,97.05882352941177,85.29411764705883
3A,96.42857142857143,85.71428571428571
73T,96.42857142857143,82.14285714285714
966A,96.29629629629629,92.5925925925926
854e,95.83333333333334,91.66666666666666
963e,95.45454545454545,90.9090909090909
9A,95.23809523809523,95.23809523809523
118A,95.23809523809523,85.71428571428571
113A,95.0,75.0
195A,94.64285714285714,73.21428571428571
807B,94.44444444444444,94.44444444444444
63A,94.44444444444444,90.74074074074075
812T,94.28571428571428,88.57142857142857
60T,94.11764705882352,94.11764705882352
118B,93.75,87.5
83T,93.75,87.5
131A,93.54838709677419,90.32258064516128
34B,93.47826086956522,84.78260869565217
39B,93.33333333333333,86.66666666666667
109A,93.33333333333333,80.0
39A,93.33333333333333,80.0
811A,93.33333333333333,80.0
965A,93.33333333333333,73.33333333333333
62A,92.6829268292683,78.04878048780488
88A,92.5925925925926,85.18518518518519
198A,92.3076923076923,92.3076923076923
859T,92.3076923076923,88.46153846153845
105B,92.3076923076923,76.92307692307693
58B,92.3076923076923,76.92307692307693
100A,92.3076923076923,69.23076923076923
15A,92.0,88.0
97e,92.0,88.0
7B,92.0,68.0
858A,91.66666666666666,79.16666666666666
137A,90.9090909090909,90.9090909090909
222A,90.9090909090909,90.9090909090909
268C,90.9090909090909,90.9090909090909
268B,90.9090909090909,81.81818181818183
858B,90.9090909090909,81.81818181818183
518A,90.69767441860465,81.3953488372093
50A,90.625,81.25
60A,90.0,90.0
10e,90.0,80.0
222B,90.0,60.0
5B,90.0,60.0
139A,88.88888888888889,88.88888888888889
29A,88.88888888888889,88.88888888888889
181M,88.88888888888889,83.33333333333334
58A,88.88888888888889,81.48148148148148
33B,88.88888888888889,77.77777777777779
965T,88.88888888888889,70.37037037037037
138B,88.88888888888889,55.55555555555556
169B,88.88888888888889,55.55555555555556
36A,88.23529411764706,85.29411764705883
912M,88.23529411764706,64.70588235294117
302A,87.5,87.5
142A,87.5,81.25
168A,87.5,81.25
173A,87.5,75.0
36B,87.27272727272727,83.63636363636363
857B,87.09677419354838,70.96774193548387
190A,86.95652173913044,82.6086956521739
70A,86.53846153846155,65.38461538461539
856A,85.71428571428571,85.71428571428571
974A,85.71428571428571,80.0
386A,85.71428571428571,71.42857142857143
882A,85.71428571428571,71.42857142857143
147A,85.1063829787234,61.702127659574465
652,84.0,88.0
89e,84.0,68.0
